Datetime,Appliance_Type,Temperature,Humidity,Usage_Duration_hr,Energy_Consumption_kWh
2024-01-01 00:00:00,Air Conditioner,19.0,39.3,4.78,11.018
2024-01-01 01:00:00,Fan,10.0,31.9,2.23,0.44
2024-01-01 02:00:00,Laptop,19.9,67.8,3.55,0.547
2024-01-01 03:00:00,Microwave,26.6,42.5,0.4,0.696
2024-01-01 04:00:00,Washing Machine,24.7,47.7,0.33,0.706
2024-01-01 05:00:00,Washing Machine,24.1,34.6,0.01,0.021
2024-01-01 06:00:00,Heater,20.6,63.5,1.84,4.531
2024-01-01 07:00:00,Bulb,15.6,31.1,4.16,0.391
2024-01-01 08:00:00,TV,24.6,63.4,0.31,0.129
2024-01-01 09:00:00,Laptop,17.8,35.6,1.52,0.169
2024-01-01 10:00:00,Heater,32.9,65.5,2.06,5.253
2024-01-01 11:00:00,Fan,24.9,59.2,3.94,0.788
2024-01-01 12:00:00,Bulb,19.1,36.6,1.56,0.159
2024-01-01 13:00:00,Washing Machine,18.9,52.6,5.27,10.516
2024-01-01 14:00:00,Washing Machine,21.5,42.5,0.63,1.293
2024-01-01 15:00:00,Washing Machine,20.8,37.1,0.65,1.234
2024-01-01 16:00:00,Refrigerator,27.6,64.4,1.17,1.518
2024-01-01 17:00:00,Dishwasher,22.9,46.1,0.73,1.372
2024-01-01 18:00:00,Air Conditioner,18.3,45.9,0.0,0.054
2024-01-01 19:00:00,Refrigerator,31.5,36.8,1.97,2.299
2024-01-01 20:00:00,TV,22.2,45.3,2.09,0.637
2024-01-01 21:00:00,Heater,25.8,64.9,2.06,5.214
2024-01-01 22:00:00,Refrigerator,19.0,44.5,0.63,0.791
2024-01-01 23:00:00,Air Conditioner,23.8,68.1,1.11,2.499
2024-01-02 00:00:00,Dishwasher,23.6,67.9,0.67,1.172
2024-01-02 01:00:00,Laptop,12.6,35.8,0.02,-0.019
2024-01-02 02:00:00,Washing Machine,32.1,37.1,1.24,2.45
2024-01-02 03:00:00,Dishwasher,28.5,64.5,0.2,0.433
2024-01-02 04:00:00,Microwave,20.0,45.7,0.13,0.092
2024-01-02 05:00:00,Heater,16.5,30.2,2.11,5.315
2024-01-02 06:00:00,TV,23.7,41.0,0.01,-0.06
2024-01-02 07:00:00,Washing Machine,22.4,53.9,4.79,9.535
2024-01-02 08:00:00,Heater,23.8,62.0,1.09,2.615
2024-01-02 09:00:00,Fan,23.0,35.3,6.11,1.195
2024-01-02 10:00:00,Fan,24.5,34.4,0.09,0.093
2024-01-02 11:00:00,Bulb,29.2,66.9,1.31,0.145
2024-01-02 12:00:00,Refrigerator,24.8,60.0,0.64,0.714
2024-01-02 13:00:00,Heater,16.8,53.6,2.78,7.006
2024-01-02 14:00:00,TV,28.8,60.8,0.67,0.263
2024-01-02 15:00:00,Air Conditioner,30.2,47.2,0.45,1.046
2024-01-02 16:00:00,Heater,37.8,60.3,2.92,7.41
2024-01-02 17:00:00,Dishwasher,16.4,44.9,0.7,1.309
2024-01-02 18:00:00,Heater,23.2,39.8,0.03,0.098
2024-01-02 19:00:00,Fan,11.6,59.2,0.74,0.108
2024-01-02 20:00:00,Refrigerator,24.8,46.8,1.59,1.944
2024-01-02 21:00:00,TV,19.3,69.3,0.44,0.143
2024-01-02 22:00:00,Refrigerator,31.6,44.0,0.85,1.044
2024-01-02 23:00:00,Dishwasher,18.1,66.9,0.09,0.123
2024-01-03 00:00:00,Microwave,13.6,67.3,1.33,2.002
2024-01-03 01:00:00,Washing Machine,19.6,39.7,2.12,4.195
2024-01-03 02:00:00,Fan,12.1,61.9,0.8,0.053
2024-01-03 03:00:00,Laptop,25.8,47.3,0.82,0.173
2024-01-03 04:00:00,Fan,11.7,66.7,0.14,-0.047
2024-01-03 05:00:00,Bulb,22.1,48.0,0.34,0.039
2024-01-03 06:00:00,Microwave,11.6,59.8,0.25,0.395
2024-01-03 07:00:00,Fan,20.4,48.7,0.99,0.213
2024-01-03 08:00:00,Heater,30.2,39.1,1.13,2.811
2024-01-03 09:00:00,Washing Machine,23.8,38.0,4.46,8.938
2024-01-03 10:00:00,Heater,17.7,47.0,0.11,0.309
2024-01-03 11:00:00,Refrigerator,21.8,60.2,1.37,1.685
2024-01-03 12:00:00,Air Conditioner,22.1,54.2,1.12,2.666
2024-01-03 13:00:00,Refrigerator,24.4,57.5,1.09,1.319
2024-01-03 14:00:00,Bulb,15.2,41.3,3.1,0.313
2024-01-03 15:00:00,Air Conditioner,25.0,49.3,0.35,0.748
2024-01-03 16:00:00,Refrigerator,8.5,31.8,0.06,0.097
2024-01-03 17:00:00,Microwave,18.9,62.7,1.67,2.543
2024-01-03 18:00:00,Heater,19.6,69.6,0.64,1.578
2024-01-03 19:00:00,Bulb,25.2,46.3,0.03,0.03
2024-01-03 20:00:00,Heater,22.1,30.4,0.43,1.071
2024-01-03 21:00:00,Fan,15.0,36.8,0.56,0.145
2024-01-03 22:00:00,Laptop,17.1,56.1,1.44,0.261
2024-01-03 23:00:00,Washing Machine,23.0,54.5,0.28,0.613
2024-01-04 00:00:00,Heater,21.6,61.5,0.8,2.004
2024-01-04 01:00:00,Bulb,19.1,40.2,0.99,0.047
2024-01-04 02:00:00,Laptop,19.6,60.5,0.92,0.108
2024-01-04 03:00:00,Laptop,25.5,57.5,5.47,0.85
2024-01-04 04:00:00,Laptop,19.4,42.9,0.07,0.133
2024-01-04 05:00:00,Heater,21.6,51.8,4.52,11.29
2024-01-04 06:00:00,Air Conditioner,32.8,35.9,1.31,3.032
2024-01-04 07:00:00,Heater,14.9,48.1,2.38,5.928
2024-01-04 08:00:00,Bulb,12.7,65.2,0.84,0.036
2024-01-04 09:00:00,TV,25.9,46.8,0.91,0.238
2024-01-04 10:00:00,Refrigerator,18.6,63.6,3.17,3.702
2024-01-04 11:00:00,Heater,20.4,53.6,3.39,8.553
2024-01-04 12:00:00,Refrigerator,18.1,37.7,0.41,0.379
2024-01-04 13:00:00,Refrigerator,20.7,53.2,0.33,0.387
2024-01-04 14:00:00,Laptop,30.0,50.2,1.03,0.095
2024-01-04 15:00:00,TV,26.0,45.9,3.46,0.993
2024-01-04 16:00:00,Bulb,26.3,34.8,0.58,0.127
2024-01-04 17:00:00,Dishwasher,14.9,46.7,1.58,2.86
2024-01-04 18:00:00,Heater,16.2,32.9,1.85,4.57
2024-01-04 19:00:00,Laptop,7.8,34.0,2.26,0.31
2024-01-04 20:00:00,Laptop,18.0,46.6,1.24,0.148
2024-01-04 21:00:00,Microwave,26.8,42.2,0.77,1.156
2024-01-04 22:00:00,Laptop,24.6,67.0,5.12,0.776
2024-01-04 23:00:00,Dishwasher,20.9,45.0,1.42,2.646
2024-01-05 00:00:00,Dishwasher,21.9,60.3,1.96,3.425
2024-01-05 01:00:00,Air Conditioner,18.6,51.2,0.63,1.458
2024-01-05 02:00:00,Heater,23.0,58.2,1.66,4.141
2024-01-05 03:00:00,Heater,25.8,40.4,0.45,1.165
2024-01-05 04:00:00,Heater,13.9,67.7,0.42,1.072
2024-01-05 05:00:00,TV,23.5,51.2,1.88,0.594
2024-01-05 06:00:00,Refrigerator,26.7,63.3,1.11,1.344
2024-01-05 07:00:00,Dishwasher,19.9,44.6,1.72,3.058
2024-01-05 08:00:00,Fan,25.5,34.0,0.47,0.155
2024-01-05 09:00:00,Washing Machine,36.1,56.9,1.37,2.779
2024-01-05 10:00:00,Air Conditioner,21.5,30.3,0.88,2.07
2024-01-05 11:00:00,Laptop,24.0,49.0,1.36,0.268
2024-01-05 12:00:00,Washing Machine,18.3,37.7,0.52,1.052
2024-01-05 13:00:00,Heater,22.9,55.1,1.89,4.787
2024-01-05 14:00:00,Refrigerator,24.3,69.2,2.46,2.97
2024-01-05 15:00:00,Washing Machine,23.0,48.6,0.45,0.892
2024-01-05 16:00:00,Fan,16.9,62.7,0.54,0.107
2024-01-05 17:00:00,Bulb,23.0,50.3,1.62,0.161
2024-01-05 18:00:00,TV,29.3,49.8,1.78,0.509
2024-01-05 19:00:00,Bulb,24.2,67.2,1.83,0.264
2024-01-05 20:00:00,Bulb,26.8,65.6,1.72,0.187
2024-01-05 21:00:00,Washing Machine,20.8,61.4,0.75,1.501
2024-01-05 22:00:00,Bulb,25.7,41.9,0.75,0.095
2024-01-05 23:00:00,Microwave,23.4,51.8,0.44,0.811
2024-01-06 00:00:00,Bulb,17.2,39.0,0.26,-0.031
2024-01-06 01:00:00,Bulb,23.6,47.8,1.77,0.135
2024-01-06 02:00:00,Refrigerator,17.0,49.4,0.15,0.107
2024-01-06 03:00:00,Heater,18.8,63.3,4.17,10.403
2024-01-06 04:00:00,Washing Machine,22.9,65.8,2.63,5.27
2024-01-06 05:00:00,Air Conditioner,23.5,46.6,2.92,6.699
2024-01-06 06:00:00,Bulb,16.1,30.7,3.56,0.329
2024-01-06 07:00:00,Bulb,27.3,64.5,0.79,0.086
2024-01-06 08:00:00,Heater,24.9,37.0,2.81,7.008
2024-01-06 09:00:00,Dishwasher,18.5,54.9,0.26,0.48
2024-01-06 10:00:00,Air Conditioner,14.3,31.0,0.03,0.131
2024-01-06 11:00:00,Washing Machine,21.3,46.0,2.3,4.644
2024-01-06 12:00:00,Heater,19.8,69.4,0.12,0.336
2024-01-06 13:00:00,Refrigerator,22.6,34.0,6.7,8.096
2024-01-06 14:00:00,Fan,20.2,46.9,1.68,0.351
2024-01-06 15:00:00,Refrigerator,12.0,42.3,2.1,2.512
2024-01-06 16:00:00,Dishwasher,20.1,66.2,0.42,0.723
2024-01-06 17:00:00,Laptop,20.5,64.8,1.68,0.233
2024-01-06 18:00:00,Air Conditioner,25.2,39.5,0.07,0.126
2024-01-06 19:00:00,Fan,18.5,33.2,2.73,0.582
2024-01-06 20:00:00,Fan,30.4,55.1,0.28,0.073
2024-01-06 21:00:00,Refrigerator,12.4,43.5,1.79,2.186
2024-01-06 22:00:00,Dishwasher,28.6,56.9,0.38,0.628
2024-01-06 23:00:00,Refrigerator,20.9,31.3,0.11,0.199
2024-01-07 00:00:00,Refrigerator,26.3,35.3,0.99,1.161
2024-01-07 01:00:00,Heater,22.4,57.5,0.28,0.641
2024-01-07 02:00:00,TV,27.7,38.5,1.96,0.566
2024-01-07 03:00:00,Dishwasher,20.1,64.3,0.41,0.857
2024-01-07 04:00:00,Heater,16.5,32.3,0.63,1.553
2024-01-07 05:00:00,Refrigerator,29.1,38.6,1.26,1.492
2024-01-07 06:00:00,Fan,21.4,69.9,0.5,0.091
2024-01-07 07:00:00,Washing Machine,23.1,47.3,0.71,1.417
2024-01-07 08:00:00,Heater,28.2,58.1,2.54,6.301
2024-01-07 09:00:00,Dishwasher,16.8,37.3,0.3,0.54
2024-01-07 10:00:00,Fan,25.0,54.4,0.13,0.08
2024-01-07 11:00:00,Washing Machine,19.1,59.0,0.6,1.21
2024-01-07 12:00:00,TV,21.3,42.6,0.83,0.193
2024-01-07 13:00:00,Laptop,22.4,63.2,1.17,0.159
2024-01-07 14:00:00,Washing Machine,14.5,54.1,0.7,1.37
2024-01-07 15:00:00,Laptop,18.1,45.6,2.34,0.354
2024-01-07 16:00:00,Air Conditioner,28.8,52.3,0.06,0.205
2024-01-07 17:00:00,TV,26.4,53.1,0.85,0.247
2024-01-07 18:00:00,TV,21.7,36.6,0.72,0.212
2024-01-07 19:00:00,Microwave,23.2,46.1,1.56,2.435
2024-01-07 20:00:00,Heater,20.5,43.7,5.08,12.755
2024-01-07 21:00:00,Bulb,28.8,46.0,1.07,0.136
2024-01-07 22:00:00,Refrigerator,21.0,60.4,6.5,7.898
2024-01-07 23:00:00,Washing Machine,23.2,49.3,0.54,1.104
2024-01-08 00:00:00,Heater,27.7,67.6,0.05,0.018
2024-01-08 01:00:00,Microwave,18.1,41.7,0.27,0.449
2024-01-08 02:00:00,TV,29.8,46.6,0.75,0.147
2024-01-08 03:00:00,Heater,14.3,61.5,0.57,1.449
2024-01-08 04:00:00,Dishwasher,30.1,51.8,0.15,0.19
2024-01-08 05:00:00,Washing Machine,20.1,51.9,0.85,1.677
2024-01-08 06:00:00,TV,20.8,32.1,0.62,0.168
2024-01-08 07:00:00,Washing Machine,12.5,45.9,0.2,0.354
2024-01-08 08:00:00,TV,19.7,40.8,0.53,0.141
2024-01-08 09:00:00,Air Conditioner,16.8,70.0,3.26,7.557
2024-01-08 10:00:00,Fan,19.0,42.3,0.54,0.072
2024-01-08 11:00:00,Heater,21.3,65.4,1.88,4.721
2024-01-08 12:00:00,Refrigerator,26.8,57.0,1.42,1.656
2024-01-08 13:00:00,Heater,23.0,43.6,0.84,2.08
2024-01-08 14:00:00,Fan,23.5,51.7,0.41,0.098
2024-01-08 15:00:00,Bulb,16.5,63.6,0.69,0.019
2024-01-08 16:00:00,Refrigerator,17.6,65.3,1.35,1.549
2024-01-08 17:00:00,TV,31.0,36.4,0.65,0.219
2024-01-08 18:00:00,Bulb,18.3,43.6,0.36,0.092
2024-01-08 19:00:00,Microwave,30.3,43.4,0.19,0.275
2024-01-08 20:00:00,Dishwasher,20.8,31.7,3.18,5.697
2024-01-08 21:00:00,Washing Machine,22.0,53.9,0.87,1.749
2024-01-08 22:00:00,Heater,27.4,64.2,1.47,3.683
2024-01-08 23:00:00,Bulb,28.4,45.3,1.01,0.113
2024-01-09 00:00:00,Fan,21.4,59.6,3.09,0.492
2024-01-09 01:00:00,TV,20.1,55.1,1.19,0.303
2024-01-09 02:00:00,Refrigerator,21.7,45.0,0.98,1.138
2024-01-09 03:00:00,Refrigerator,23.7,35.6,3.88,4.66
2024-01-09 04:00:00,Laptop,26.5,58.4,1.91,0.295
2024-01-09 05:00:00,Bulb,22.0,64.2,0.18,0.05
2024-01-09 06:00:00,Bulb,25.1,57.4,0.29,0.042
2024-01-09 07:00:00,Laptop,30.2,30.7,2.32,0.283
2024-01-09 08:00:00,TV,23.9,38.6,2.71,0.885
2024-01-09 09:00:00,Heater,23.6,32.8,1.18,3.018
2024-01-09 10:00:00,Washing Machine,14.4,52.8,1.21,2.362
2024-01-09 11:00:00,Bulb,8.8,60.3,1.5,0.167
2024-01-09 12:00:00,TV,23.9,34.4,0.87,0.23
2024-01-09 13:00:00,Heater,21.5,63.5,1.71,4.282
2024-01-09 14:00:00,Heater,19.4,52.2,0.17,0.483
2024-01-09 15:00:00,TV,23.2,57.6,4.88,1.57
2024-01-09 16:00:00,Heater,21.7,68.9,2.08,5.238
2024-01-09 17:00:00,Washing Machine,27.6,33.3,1.5,3.007
2024-01-09 18:00:00,Microwave,22.4,66.0,0.57,0.839
2024-01-09 19:00:00,TV,18.3,35.0,0.26,0.088
2024-01-09 20:00:00,TV,27.0,45.7,0.79,0.305
2024-01-09 21:00:00,Washing Machine,20.9,64.1,1.63,3.248
2024-01-09 22:00:00,Laptop,24.6,66.3,1.51,0.182
2024-01-09 23:00:00,Washing Machine,19.6,50.3,0.72,1.366
2024-01-10 00:00:00,Refrigerator,18.8,53.8,1.43,1.736
2024-01-10 01:00:00,Laptop,22.4,58.3,2.52,0.391
2024-01-10 02:00:00,TV,22.1,63.3,0.04,-0.02
2024-01-10 03:00:00,Bulb,24.4,34.9,0.9,0.141
2024-01-10 04:00:00,TV,20.7,62.4,2.13,0.618
2024-01-10 05:00:00,Microwave,12.8,49.3,1.18,1.771
2024-01-10 06:00:00,Heater,19.8,48.0,1.58,3.952
2024-01-10 07:00:00,Air Conditioner,26.0,47.0,1.09,2.491
2024-01-10 08:00:00,Refrigerator,20.5,50.4,7.22,8.675
2024-01-10 09:00:00,Washing Machine,20.8,67.8,0.08,0.226
2024-01-10 10:00:00,Fan,26.9,51.9,1.01,0.145
2024-01-10 11:00:00,Air Conditioner,18.4,68.1,0.14,0.355
2024-01-10 12:00:00,Bulb,14.3,37.2,0.26,0.035
2024-01-10 13:00:00,TV,21.2,59.0,0.72,0.225
2024-01-10 14:00:00,Laptop,19.6,62.5,0.25,0.082
2024-01-10 15:00:00,Dishwasher,17.2,57.2,4.97,8.955
2024-01-10 16:00:00,Microwave,21.1,54.3,4.4,6.624
2024-01-10 17:00:00,Dishwasher,24.5,52.6,0.61,1.142
2024-01-10 18:00:00,Washing Machine,22.0,64.4,1.53,3.038
2024-01-10 19:00:00,Laptop,23.5,62.9,1.14,0.187
2024-01-10 20:00:00,Refrigerator,31.1,34.9,2.54,3.03
2024-01-10 21:00:00,Heater,20.3,63.9,1.48,3.696
2024-01-10 22:00:00,TV,23.4,46.6,0.0,-0.016
2024-01-10 23:00:00,Washing Machine,19.5,40.1,2.16,4.345
